,climatemodel,ecs (k),tcr (k),name,version,config
0,held-two-layer-uom-ECS-3K,2.999088460843373,2.291568656722577,held-two-layer,uom,ECS-3K
26689,held-two-layer-uom-CMIP6-BCC-CSM2-MR_r1i1p1f1-CALIB,2.6316544309620555,1.9684820700664771,held-two-layer,uom,CMIP6-BCC-CSM2-MR_r1i1p1f1-CALIB
26690,held-two-layer-uom-CMIP6-BCC-ESM1_r1i1p1f1-CALIB,2.312988600936885,1.7513684075584672,held-two-layer,uom,CMIP6-BCC-ESM1_r1i1p1f1-CALIB
26691,held-two-layer-uom-CMIP6-CESM2-WACCM_r1i1p1f1-CALIB,2.5509362382325955,2.0174879957442116,held-two-layer,uom,CMIP6-CESM2-WACCM_r1i1p1f1-CALIB
26692,held-two-layer-uom-CMIP6-CESM2_r1i1p1f1-CALIB,3.6331535612815995,2.1545007469512782,held-two-layer,uom,CMIP6-CESM2_r1i1p1f1-CALIB
26693,held-two-layer-uom-CMIP6-CNRM-CM6-1_r1i1p1f2-CALIB,2.912737186294136,2.322365626895357,held-two-layer,uom,CMIP6-CNRM-CM6-1_r1i1p1f2-CALIB
26694,held-two-layer-uom-CMIP6-CNRM-ESM2-1_r1i1p1f2-CALIB,2.286603676326585,1.9878480022687472,held-two-layer,uom,CMIP6-CNRM-ESM2-1_r1i1p1f2-CALIB
26695,held-two-layer-uom-CMIP6-CanESM5_r1i1p1f1-CALIB,3.138895486435029,2.654634547543877,held-two-layer,uom,CMIP6-CanESM5_r1i1p1f1-CALIB
26696,held-two-layer-uom-CMIP6-EC-Earth3-Veg_r1i1p1f1-CALIB,3.5037037546815575,2.4986714242561034,held-two-layer,uom,CMIP6-EC-Earth3-Veg_r1i1p1f1-CALIB
26697,held-two-layer-uom-CMIP6-GISS-E2-1-G_r1i1p1f1-CALIB,2.5033804123565964,1.76446089873143,held-two-layer,uom,CMIP6-GISS-E2-1-G_r1i1p1f1-CALIB
26698,held-two-layer-uom-CMIP6-GISS-E2-1-H_r1i1p1f1-CALIB,2.477079163778587,1.898762255771229,held-two-layer,uom,CMIP6-GISS-E2-1-H_r1i1p1f1-CALIB
26699,held-two-layer-uom-CMIP6-GISS-E2-2-G_r1i1p1f1-CALIB,1.9029266378232275,1.7370727506569386,held-two-layer,uom,CMIP6-GISS-E2-2-G_r1i1p1f1-CALIB
26700,held-two-layer-uom-CMIP6-IPSL-CM6A-LR_r1i1p1f1-CALIB,4.569178779819971,2.3952523951099476,held-two-layer,uom,CMIP6-IPSL-CM6A-LR_r1i1p1f1-CALIB
26701,held-two-layer-uom-CMIP6-MPI-ESM1-2-HR_r1i1p1f1-CALIB,2.168188661664446,1.7219650368094273,held-two-layer,uom,CMIP6-MPI-ESM1-2-HR_r1i1p1f1-CALIB
26702,held-two-layer-uom-CMIP6-NorCPM1_r1i1p1f1-CALIB,4.153463926988893,1.658436961129546,held-two-layer,uom,CMIP6-NorCPM1_r1i1p1f1-CALIB
26703,held-two-layer-uom-CMIP6-UKESM1-0-LL_r1i1p1f2-CALIB,4.106010476729652,2.826522019064703,held-two-layer,uom,CMIP6-UKESM1-0-LL_r1i1p1f2-CALIB
